id_orign,orign_country,,,,,,
1,united states,,,,,,
2,united kingdom,,,,,,
3,canada,,,,,,
4,japan,,,,,,
5,mexico,,,,,,
6,spain,,,,,,
7,france,,,,,,
8,norway,,,,,,
9,poland,,,,,,
10,ireland,,,,,,
11,germany,,,,,,
12,'-,,,,,,
13,israel,,,,,,
14,new zealand,,,,,,
15,thailand,,,,,,
16,south korea,,,,,,
17,belgium,,,,,,
18,south africa,,,,,,
19,china,,,,,,
20,italy,,,,,,
21,united arab emirates,,,,,,
22,brazil,,,,,,
23,sweden,,,,,,
24,australia,,,,,,
25,india,,,,,,
26,hungary,,,,,,
27,czech republic,,,,,,
28,iceland,,,,,,
29,austria,,,,,,
30,turkey,,,,,,
31,netherlands,,,,,,
32,denmark,,,,,,
33,hong kong,,,,,,
34,mauritius,,,,,,
35,finland,,,,,,
36,colombia,,,,,,
37,indonesia,,,,,,
38,russia,,,,,,
39,philippines,,,,,,
40,bulgaria,,,,,,
41,argentina,,,,,,
42,luxembourg,,,,,,
43,egypt,,,,,,
44,cambodia,,,,,,
45,taiwan,,,,,,
46,chile,,,,,,
47,romania,,,,,,
48,korea,,,,,,
49,lebanon,,,,,,
50,cameroon,,,,,,
51,uruguay,,,,,,
52,vietnam,,,,,,
53,cyprus,,,,,,
54,bahamas,,,,,,
55,malaysia,,,,,,
56,portugal,,,,,,
57,georgia,,,,,,
58,puerto rico,,,,,,
59,greece,,,,,,
60,pakistan,,,,,,
61,saudi arabia,,,,,,
62,tunisia,,,,,,
63,paraguay,,,,,,
64,switzerland,,,,,,
65,nigeria,,,,,,
66,croatia,,,,,,
67,singapore,,,,,,
68,jordan,,,,,,
69,peru,,,,,,
70,kuwait,,,,,,
71,senegal,,,,,,
72,ghana,,,,,,
73,belarus,,,,,,
74,albania,,,,,,
75,iraq,,,,,,
76,moldova,,,,,,
77,costa rica,,,,,,
78,syria,,,,,,
79,venezuela,,,,,,
80,kenya,,,,,,
81,occupied palestinian territory,,,,,,
82,haiti,,,,,,
